,title,short_title,link,price,ratings,reviews
0,"QUAKER Maple & Brown Sugar Family Pack Instant Oatmeal (18 Packets x 43 g), 774 g",QUAKER Maple & Brown Suga,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_grocery_sr_pg1_1?ie=UTF8&adId=A07976502A3RQ5MHS24D5&url=%2FInstant-Quaker-Oats-Oatmeal-Maple-18-Count%2Fdp%2FB01F8YM2IU%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Doatmeal%26qid%3D1636642038%26s%3Dgrocery%26sr%3D1-1-spons%26psc%3D1&qualifier=1636642038&id=3055973809256154&widgetName=sp_atf,4.97,4.8 out of 5 stars,"3,872"
1,"QUAKER Quick Cook Standard Oats, 1 kg",QUAKER Quick Cook Standar,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_grocery_sr_pg1_1?ie=UTF8&adId=A1031638A78T28EKH6OJ&url=%2FStandard-Quaker-Quick-Oats-Kg%2Fdp%2FB015E0LKYA%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Doatmeal%26qid%3D1636642038%26s%3Dgrocery%26sr%3D1-2-spons%26psc%3D1&qualifier=1636642038&id=3055973809256154&widgetName=sp_atf,3.27,4.7 out of 5 stars,719
2,Robin Hood 100% Whole Grains Minute Oats 1kg,Robin Hood 100% Whole Gra,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_grocery_sr_pg1_1?ie=UTF8&adId=A04334013RUKV4C8TTX18&url=%2FRobin-Hood-Whole-Grains-Minute%2Fdp%2FB00YKLIQZQ%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Doatmeal%26qid%3D1636642038%26s%3Dgrocery%26sr%3D1-3-spons%26psc%3D1&qualifier=1636642038&id=3055973809256154&widgetName=sp_atf,2.97,4.7 out of 5 stars,157
3,"QUAKER Apples & Cinnamon Family Pack Instant Oatmeal (18 Packets x 33 g), 594 g",QUAKER Apples & Cinnamon ,/Instant-Quaker-Oats-Oatmeal-Apple-Cinnamon/dp/B01F8YM2AS/ref=sr_1_4?keywords=oatmeal&qid=1636642038&s=grocery&sr=1-4,4.97,4.8 out of 5 stars,"3,872"
4,"Quaker Instant Oatmeal Fruit and Cream Flavors 40 X 1.05 Ounce Net Wt 42.3 Ounce, 42.3 Ounces",Quaker Instant Oatmeal Fr,/Quaker-Instant-Oatmeal-Flavors-Ounces/dp/B085CTR872/ref=sr_1_5?keywords=oatmeal&qid=1636642038&s=grocery&sr=1-5,22.65,4.5 out of 5 stars,575
5,"QUAKER Original Instant Oatmeal (10 Packets x 28 g), 280 g",QUAKER Original Instant O,/Quaker-Instant-Original-Oatmeal-Grams/dp/B07VGNFGKZ/ref=sr_1_6?keywords=oatmeal&qid=1636642038&s=grocery&sr=1-6,2.49,4.7 out of 5 stars,275
6,"QUAKER Peaches & Cream Instant Oatmeal (8 Packets x 33 g), 264 g",QUAKER Peaches & Cream In,/Quaker-Instant-Peaches-Cream-Oatmeal/dp/B07VGRGZ7J/ref=sr_1_7?keywords=oatmeal&qid=1636642038&s=grocery&sr=1-7,3.79,4.7 out of 5 stars,238
7,"QUAKER Lightly Sweetened Apples & Cinnamon Instant Oatmeal (8 Packets x 29 g), 232 g",QUAKER Lightly Sweetened ,/Quaker-Instant-Lightly-Sweetened-Cinnamon/dp/B07VGRH2JF/ref=sr_1_8?keywords=oatmeal&qid=1636642038&s=grocery&sr=1-8,3.27,4.5 out of 5 stars,102
8,"QUAKER Maple & Brown Sugar Instant Oatmeal (8 Packets x 43 g), 344 g",QUAKER Maple & Brown Suga,/Quaker-Instant-Maple-Brown-Oatmeal/dp/B07VHVNPTR/ref=sr_1_9?keywords=oatmeal&qid=1636642038&s=grocery&sr=1-9,2.48,4.8 out of 5 stars,393
9,"Quaker High Fibre Raisins & Spice Instant Oatmeal (8 Packets X 43 g), 344 g",Quaker High Fibre Raisins,/Quaker-Instant-Fibre-Raisins-Spice/dp/B07VCG3N3M/ref=sr_1_10?keywords=oatmeal&qid=1636642038&s=grocery&sr=1-10,3.77,4.7 out of 5 stars,183
